name,Yr,school,position,PA,wOBA,wRC,wRAA,OPS,OBP,SLG,BA,ISO,BABIP,K%,BB%,HR%
Wyatt Olson,Sr,Niagara,OF,199,0.337,24.912,-3.147,0.706,0.337,0.369,0.261,0.108,0.328,0.206,0.095,0.01
Ben Hart,Sr,Oakland,INF,203,0.337,25.413,-3.21,0.743,0.315,0.428,0.283,0.145,0.312,0.158,0.03,0.025
Jordan Hutchins,So,Delaware,INF,140,0.337,17.526,-2.214,0.728,0.336,0.392,0.296,0.096,0.356,0.171,0.071,0.007
James Mcconnon,So,Saint Joseph's,C,169,0.337,21.156,-2.673,0.695,0.349,0.346,0.288,0.058,0.324,0.101,0.071,0.0
Thad Phillips,Jr,UConn,C,127,0.337,15.899,-2.008,0.712,0.331,0.381,0.257,0.124,0.346,0.26,0.087,0.016
Evan Berkey,Fr,CSU Bakersfield,INF,210,0.337,26.289,-3.321,0.691,0.352,0.339,0.272,0.067,0.312,0.119,0.09,0.0
Ryan Koch,Jr,CSU Bakersfield,C,203,0.337,25.413,-3.21,0.742,0.31,0.432,0.257,0.175,0.279,0.138,0.064,0.02
Matt Hudgins,Jr,Army West Point,OF,227,0.337,28.417,-3.59,0.659,0.361,0.298,0.221,0.077,0.281,0.198,0.167,0.009
Matt Feinstein,Jr,Dartmouth,OF,195,0.337,24.411,-3.084,0.696,0.349,0.347,0.271,0.076,0.306,0.128,0.097,0.01
Conner Shepherd,So,TCU,INF,224,0.337,28.042,-3.542,0.701,0.335,0.366,0.208,0.158,0.252,0.246,0.138,0.031
Justin Kunz,Jr,Gardner-Webb,C,229,0.337,28.668,-3.621,0.683,0.341,0.342,0.209,0.133,0.269,0.227,0.096,0.013
Javier Valdes,So,FIU,C,206,0.337,25.788,-3.258,0.722,0.335,0.387,0.282,0.105,0.312,0.121,0.053,0.015
Jaron Robinson,Jr,Murray St.,INF,207,0.336,25.721,-3.466,0.714,0.329,0.385,0.246,0.139,0.26,0.13,0.111,0.024
Buddy Dewaine,So,Central Conn. St.,INF,192,0.336,23.857,-3.215,0.699,0.344,0.355,0.279,0.076,0.322,0.141,0.078,0.005
Cole Garey,Fr,Delaware St.,INF,161,0.336,20.005,-2.696,0.732,0.317,0.415,0.279,0.136,0.328,0.186,0.056,0.012
Austin Chauvin,Jr,Saint Mary's (CA),INF,168,0.336,20.875,-2.813,0.702,0.357,0.345,0.283,0.062,0.364,0.226,0.077,0.006
Jake Pulcheon,Sr,Houston Baptist,INF,225,0.336,27.958,-3.767,0.704,0.333,0.371,0.242,0.129,0.293,0.218,0.089,0.027
Jordan Boyer,Jr,Wichita St.,INF,175,0.336,21.745,-2.93,0.709,0.337,0.372,0.248,0.124,0.28,0.149,0.114,0.017
Chris Williams,Sr,San Jose St.,OF,210,0.336,26.094,-3.516,0.687,0.352,0.335,0.28,0.055,0.329,0.148,0.071,0.0
Mason Robinson,Jr,Louisiana Tech,OF,246,0.336,30.567,-4.119,0.724,0.329,0.395,0.265,0.13,0.293,0.154,0.077,0.024
Brett Whelton,So,McNeese,C,125,0.336,15.532,-2.093,0.668,0.36,0.308,0.262,0.046,0.304,0.128,0.104,0.0
